Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2021-01-17,Afton Alps,Minnesota,United_States,EPIC,0,12,N/A,24
2021-01-17,Alpine Valley Resort,Wisconsin,United_States,EPIC,0,8,N/A,18
2021-01-17,Arapahoe Basin Ski Area,Colorado,United_States,IKON,6,37,37,37
2021-01-17,Attitash,New_Hampshire,United_States,EPIC,0,20,N/A,20
2021-01-17,Beaver Creek,Colorado,United_States,EPIC,1,23,23,23
2021-01-17,Big Boulder,Pennsylvania,United_States,EPIC,0,12,N/A,18
2021-01-17,Big Sky,Montana,United_States,IKON,0,28,36,54
2021-01-17,Blue Mountain,Ontario,Canada,IKON,0,14,14,14
2021-01-17,Boston Mills,Ohio,United_States,EPIC,0,10,N/A,18
2021-01-17,Boyne Highlands,Michigan,United_States,IKON,0,40,N/A,40
2021-01-17,Boyne Mountain Resort,Michigan,United_States,IKON,0,40,N/A,40
2021-01-17,Brandywine,Ohio,United_States,EPIC,0,10,N/A,18
2021-01-17,Breckenridge,Colorado,United_States,EPIC,2,29,29,29
2021-01-17,Brighton Resort,Utah,United_States,IKON,0,35,N/A,35
2021-01-17,Coronet Peak,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-01-17,Crested Butte Mountain Resort,Colorado,United_States,EPIC,0,30,30,30
2021-01-17,Crotched Mountain,New_Hampshire,United_States,EPIC,0,12,N/A,12
2021-01-17,Crystal Mountain,Washington,United_States,IKON,0,54,77,82
2021-01-17,Cypress Mountain,British_Columbia,Canada,IKON,0,55,N/A,115
2021-01-17,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2021-01-17,Heavenly,California,United_States,EPIC,0,25,30,46
2021-01-17,Hidden Valley Resort,Pennsylvania,United_States,EPIC,0,N/A,N/A,N/A
2021-01-17,Jack Frost,Pennsylvania,United_States,EPIC,0,10,N/A,12
2021-01-17,June Mountain,California,United_States,IKON,0,6,N/A,8
2021-01-17,Keystone,Colorado,United_States,EPIC,2,29,29,29
2021-01-17,Kirkwood,California,United_States,EPIC,0,32,25,25
2021-01-17,Liberty,Pennsylvania,United_States,EPIC,0,12,N/A,16
2021-01-17,Loon Mountain,New_Hampshire,United_States,IKON,4,18,N/A,24
2021-01-17,Mad River Mountain,Ohio,United_States,EPIC,0,10,N/A,10
2021-01-17,Mammoth Mountain,California,United_States,IKON,0,25,38,32
2021-01-17,Mount Snow,Vermont,United_States,EPIC,2,18,18,18
2021-01-17,Mount Sunapee,New_Hampshire,United_States,EPIC,0,18,N/A,18
2021-01-17,Mt. Brighton,Michigan,United_States,EPIC,0,32,32,32
2021-01-17,Mt. Buller,Australia,Australia,IKON,0,0,N/A,0
2021-01-17,Mt. Hotham,Australia,Australia,EPIC,0,0,0,0
2021-01-17,Mt. Hutt Ski Area,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-01-17,Northstar California,California,United_States,EPIC,0,18,N/A,32
2021-01-17,Okemo Mountain Resort,Vermont,United_States,EPIC,1,24,N/A,24
2021-01-17,Paoli Peaks,Indiana,United_States,EPIC,0,12,N/A,24
2021-01-17,Park City,Utah,United_States,EPIC,0,21,N/A,25
2021-01-17,Perisher,Australia,Australia,EPIC,0,0,0,0
2021-01-17,Revelstoke,British_Columbia,Canada,IKON,1,N/A,N/A,80
2021-01-17,Roundtop Mountain Resort,Pennsylvania,United_States,EPIC,0,20,N/A,20
2021-01-17,Snow Creek,Missouri,United_States,EPIC,0,20,N/A,20
2021-01-17,Snowshoe Mountain,West_Virginia,United_States,IKON,0,55,N/A,55
2021-01-17,Solitude Mountain Resort,Utah,United_States,IKON,0,32,N/A,32
2021-01-17,Squaw Valley Alpine Meadows,California,United_States,IKON,0,34,N/A,57
2021-01-17,Steamboat,Colorado,United_States,IKON,1,27,27,41
2021-01-17,Stevens Pass Resort,Washington,United_States,EPIC,1,80,100,123
2021-01-17,Stowe Mountain,Vermont,United_States,EPIC,8,12,24,36
2021-01-17,Stratton Mountain,Vermont,United_States,IKON,1,19,19,19
2021-01-17,Sugarbush,Vermont,United_States,IKON,10,30,N/A,48
2021-01-17,Sugarloaf,Maine,United_States,IKON,0,14,16,20
2021-01-17,Sunday River,Maine,United_States,IKON,0,18,24,28
2021-01-17,Taos Ski Valley,New_Mexico,United_States,IKON,0,34,45,45
2021-01-17,The Remarkables,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-01-17,The Summit at Snoqualmie,Washington,United_States,IKON,0,N/A,N/A,95
2021-01-17,Thredbo Alpine Resort,Australia,Australia,IKON,0,0,N/A,0
2021-01-17,Tremblant,Quebec,Canada,IKON,0,12,N/A,24
2021-01-17,Vail,Colorado,United_States,EPIC,2,32,32,32
2021-01-17,Valle Nevado,Chile,Chile,IKON,0,0,0,0
2021-01-17,Whistler Blackcomb,British_Columbia,Canada,EPIC,0,91,91,91
2021-01-17,Whitetail Resort,Pennsylvania,United_States,EPIC,0,20,N/A,20
2021-01-17,Wildcat Mountain,New_Hampshire,United_States,EPIC,0,12,N/A,24
2021-01-17,Wilmot Mountain,Wisconsin,United_States,EPIC,0,20,N/A,20
2021-01-17,Winter Park,Colorado,United_States,IKON,6,41,41,41
