Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2021-01-03,Afton Alps,Minnesota,United_States,EPIC,0,12,N/A,24
2021-01-03,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0,16,N/A,39
2021-01-03,Alta Ski Area,Utah,United_States,IKON,0,38,N/A,38
2021-01-03,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0,59,53,24
2021-01-03,Arapahoe Basin Ski Area,Colorado,United_States,IKON,0,30,30,30
2021-01-03,Aspen Snowmass,Colorado,United_States,IKON,0,22,32,37
2021-01-03,Bear Mountain,California,United_States,IKON,0,36,N/A,48
2021-01-03,Beaver Creek,Colorado,United_States,EPIC,0,23,23,23
2021-01-03,Big Sky,Montana,United_States,IKON,0,23,N/A,31
2021-01-03,Blue Mountain,Ontario,Canada,IKON,0,14,14,14
2021-01-03,Boyne Highlands,Michigan,United_States,IKON,0,40,N/A,40
2021-01-03,Boyne Mountain Resort,Michigan,United_States,IKON,0,24,N/A,24
2021-01-03,Breckenridge,Colorado,United_States,EPIC,0,27,27,27
2021-01-03,Brides les Bains,Northern_Alps,France,EPIC,0,0,N/A,0
2021-01-03,Brighton Resort,Utah,United_States,IKON,8,31,N/A,31
2021-01-03,Copper Mountain,Colorado,United_States,IKON,0,25,25,25
2021-01-03,Courchevel,Northern_Alps,France,EPIC,0,0,N/A,0
2021-01-03,Crested Butte Mountain Resort,Colorado,United_States,EPIC,0,33,33,33
2021-01-03,Crystal Mountain,Washington,United_States,IKON,21,75,59,75
2021-01-03,Cypress Mountain,British_Columbia,Canada,IKON,0,55,N/A,110
2021-01-03,Deer Valley Resort,Utah,United_States,IKON,0,22,22,22
2021-01-03,Eldora Mountain Resort,Colorado,United_States,IKON,1,24,24,24
2021-01-03,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2021-01-03,Fernie Alpine,British_Columbia,Canada,EPIC,11,35,N/A,71
2021-01-03,Folgàrida - Marilléva,Trentino,Italy,EPIC,0,N/A,N/A,N/A
2021-01-03,Heavenly,California,United_States,EPIC,0,27,32,48
2021-01-03,Jackson Hole,Wyoming,United_States,IKON,12,19,49,62
2021-01-03,June Mountain,California,United_States,IKON,0,6,N/A,8
2021-01-03,Keystone,Colorado,United_States,EPIC,0,25,25,25
2021-01-03,Kicking Horse,British_Columbia,Canada,EPIC,11,71,165,171
2021-01-03,Killington Resort,Vermont,United_States,IKON,1,24,24,24
2021-01-03,Kimberley,British_Columbia,Canada,EPIC,8,24,28,30
2021-01-03,Kirkwood,California,United_States,EPIC,0,33,28,28
2021-01-03,La Tania,Northern_Alps,France,EPIC,0,0,N/A,0
2021-01-03,Lake Louise,Alberta,Canada,IKON,0,38,N/A,51
2021-01-03,Les Menuires,Northern_Alps,France,EPIC,0,14,N/A,20
2021-01-03,Loon Mountain,New_Hampshire,United_States,IKON,0,18,N/A,24
2021-01-03,Madonna di Campiglio,Trentino,Italy,EPIC,0,47,N/A,74
2021-01-03,Mammoth Mountain,California,United_States,IKON,0,30,44,38
2021-01-03,Meribel,Northern_Alps,France,EPIC,0,12,N/A,35
2021-01-03,Mont Sainte Anne,Quebec,Canada,EPIC,4,47,51,51
2021-01-03,Monte Bondone,Trentino,Italy,EPIC,0,24,N/A,47
2021-01-03,Mount Sunapee,New_Hampshire,United_States,EPIC,0,18,18,18
2021-01-03,Mt. Bachelor,Oregon,United_States,IKON,10,72,73,73
2021-01-03,Mt. Brighton,Michigan,United_States,EPIC,3,28,28,28
2021-01-03,Mt. Buller,Australia,Australia,IKON,0,0,N/A,0
2021-01-03,Mt. Hotham,Australia,Australia,EPIC,0,0,0,0
2021-01-03,Mt. Norquay,Alberta,Canada,IKON,0,34,N/A,34
2021-01-03,Nakiska Ski Area,Alberta,Canada,EPIC,2,37,37,63
2021-01-03,Nendaz,Valais,Switzerland,EPIC,0,16,N/A,47
2021-01-03,Northstar California,California,United_States,EPIC,0,18,N/A,32
2021-01-03,Okemo Mountain Resort,Vermont,United_States,EPIC,2,24,24,24
2021-01-03,Orelle,Northern_Alps,France,EPIC,0,0,N/A,0
2021-01-03,Park City,Utah,United_States,EPIC,0,20,N/A,23
2021-01-03,Pejo,Trentino,Italy,EPIC,0,N/A,N/A,N/A
2021-01-03,Perisher,Australia,Australia,EPIC,0,0,0,0
2021-01-03,Pinzolo,Trentino,Italy,EPIC,0,16,47,67
2021-01-03,Pontedilegno - Tonale,Trentino,Italy,EPIC,0,59,118,236
2021-01-03,Revelstoke,British_Columbia,Canada,IKON,3,75,N/A,75
2021-01-03,Saint Martin de Belleville,Northern_Alps,France,EPIC,0,0,N/A,0
2021-01-03,Snow Summit,California,United_States,IKON,0,36,36,36
2021-01-03,Snowbasin,Utah,United_States,EPIC,0,32,32,32
2021-01-03,Snowbird,Utah,United_States,IKON,0,38,38,38
2021-01-03,Snowshoe Mountain,West_Virginia,United_States,IKON,0,55,N/A,55
2021-01-03,Solitude Mountain Resort,Utah,United_States,IKON,0,28,N/A,28
2021-01-03,Squaw Valley Alpine Meadows,California,United_States,IKON,2,38,N/A,57
2021-01-03,Steamboat,Colorado,United_States,IKON,0,25,25,37
2021-01-03,Stevens Pass Resort,Washington,United_States,EPIC,22,79,104,120
2021-01-03,Stoneham,Quebec,Canada,EPIC,4,14,14,14
2021-01-03,Stowe Mountain,Vermont,United_States,EPIC,0,12,24,36
2021-01-03,Stratton Mountain,Vermont,United_States,IKON,0,15,15,15
2021-01-03,Sugarbush,Vermont,United_States,IKON,0,24,N/A,48
2021-01-03,Sugarloaf,Maine,United_States,IKON,0,10,12,15
2021-01-03,Sun Valley,Idaho,United_States,EPIC,0,32,34,37
2021-01-03,Sunday River,Maine,United_States,IKON,0,14,20,24
2021-01-03,Sunshine Village,Alberta,Canada,IKON,4,57,N/A,194
2021-01-03,Taos Ski Valley,New_Mexico,United_States,IKON,0,38,52,N/A
2021-01-03,Telluride,Colorado,United_States,EPIC,0,23,29,31
2021-01-03,The Summit at Snoqualmie,Washington,United_States,IKON,0,69,69,100
2021-01-03,Thredbo Alpine Resort,Australia,Australia,IKON,0,0,N/A,0
2021-01-03,Thyon 2000,Valais,Switzerland,EPIC,0,16,N/A,47
2021-01-03,Tremblant,Quebec,Canada,IKON,0,N/A,N/A,54
2021-01-03,Vail,Colorado,United_States,EPIC,0,30,30,30
2021-01-03,Val Thorens,Northern_Alps,France,EPIC,0,31,N/A,51
2021-01-03,Verbier,Valais,Switzerland,EPIC,0,14,N/A,41
2021-01-03,Veysonnaz,Valais,Switzerland,EPIC,0,16,N/A,47
2021-01-03,Whistler Blackcomb,British_Columbia,Canada,EPIC,8,94,94,94
2021-01-03,Wilmot Mountain,Wisconsin,United_States,EPIC,0,20,20,20
2021-01-03,Windham Mountain,New_York,United_States,IKON,0,12,N/A,24
2021-01-03,Winter Park,Colorado,United_States,IKON,0,38,N/A,38
