,Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
0,2021-01-06,Afton Alps,Minnesota,United_States,EPIC,0,12.0,,24.0
1,2021-01-06,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0,16.0,,39.0
2,2021-01-06,Alta Ski Area,Utah,United_States,IKON,0,44.0,,44.0
3,2021-01-06,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0,79.0,59.0,43.0
4,2021-01-06,Arapahoe Basin Ski Area,Colorado,United_States,IKON,4,35.0,35.0,35.0
5,2021-01-06,Aspen Snowmass,Colorado,United_States,IKON,3,25.0,33.0,39.0
6,2021-01-06,Bear Mountain,California,United_States,IKON,0,36.0,,48.0
7,2021-01-06,Beaver Creek,Colorado,United_States,EPIC,5,26.0,26.0,26.0
8,2021-01-06,Big Sky,Montana,United_States,IKON,0,30.0,,40.0
9,2021-01-06,Blue Mountain,Ontario,Canada,IKON,0,14.0,14.0,14.0
10,2021-01-06,Boyne Highlands,Michigan,United_States,IKON,0,40.0,,40.0
11,2021-01-06,Boyne Mountain Resort,Michigan,United_States,IKON,0,24.0,,24.0
12,2021-01-06,Breckenridge,Colorado,United_States,EPIC,4,31.0,31.0,31.0
13,2021-01-06,Brides les Bains,Northern_Alps,France,EPIC,0,0.0,,0.0
14,2021-01-06,Brighton Resort,Utah,United_States,IKON,0,40.0,,40.0
15,2021-01-06,Copper Mountain,Colorado,United_States,IKON,4,25.0,25.0,25.0
16,2021-01-06,Courchevel,Northern_Alps,France,EPIC,0,0.0,,0.0
17,2021-01-06,Crested Butte Mountain Resort,Colorado,United_States,EPIC,3,33.0,33.0,33.0
18,2021-01-06,Crystal Mountain,Washington,United_States,IKON,13,70.0,90.0,96.0
19,2021-01-06,Cypress Mountain,British_Columbia,Canada,IKON,0,67.0,126.0,
20,2021-01-06,Deer Valley Resort,Utah,United_States,IKON,1,26.0,26.0,26.0
21,2021-01-06,Eldora Mountain Resort,Colorado,United_States,IKON,3,24.0,24.0,24.0
22,2021-01-06,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0.0,,0.0
23,2021-01-06,Fernie Alpine,British_Columbia,Canada,EPIC,1,39.0,,76.0
24,2021-01-06,Folgàrida - Marilléva,Trentino,Italy,EPIC,0,,,
25,2021-01-06,Heavenly,California,United_States,EPIC,0,27.0,32.0,48.0
26,2021-01-06,Jackson Hole,Wyoming,United_States,IKON,6,23.0,53.0,69.0
27,2021-01-06,June Mountain,California,United_States,IKON,0,6.0,,8.0
28,2021-01-06,Keystone,Colorado,United_States,EPIC,3,31.0,31.0,33.0
29,2021-01-06,Kicking Horse,British_Columbia,Canada,EPIC,0,71.0,165.0,191.0
30,2021-01-06,Killington Resort,Vermont,United_States,IKON,0,24.0,24.0,24.0
