Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2020-12-28,Afton Alps,Minnesota,United_States,EPIC,0,12,N/A,24
2020-12-28,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0,16,N/A,39
2020-12-28,Alta Ski Area,Utah,United_States,IKON,0,40,N/A,40
2020-12-28,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0,47,43,19
2020-12-28,Arapahoe Basin Ski Area,Colorado,United_States,IKON,1,28,28,28
2020-12-28,Aspen Snowmass,Colorado,United_States,IKON,0,20,27,32
2020-12-28,Bear Mountain,California,United_States,IKON,0,24,N/A,36
2020-12-28,Beaver Creek,Colorado,United_States,EPIC,0,21,21,21
2020-12-28,Big Sky,Montana,United_States,IKON,0,22,N/A,31
2020-12-28,Blue Mountain,Ontario,Canada,IKON,0,14,14,14
2020-12-28,Boyne Highlands,Michigan,United_States,IKON,3,40,N/A,40
2020-12-28,Boyne Mountain Resort,Michigan,United_States,IKON,0,21,N/A,21
2020-12-28,Breckenridge,Colorado,United_States,EPIC,3,27,27,27
2020-12-28,Brides les Bains,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-28,Brighton Resort,Utah,United_States,IKON,0,32,N/A,32
2020-12-28,Copper Mountain,Colorado,United_States,IKON,1,21,21,21
2020-12-28,Courchevel,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-28,Crested Butte Mountain Resort,Colorado,United_States,EPIC,2,29,29,29
2020-12-28,Crystal Mountain,Washington,United_States,IKON,0,44,53,55
2020-12-28,Cypress Mountain,British_Columbia,Canada,IKON,2,55,91,91
2020-12-28,Deer Valley Resort,Utah,United_States,IKON,1,21,21,21
2020-12-28,Eldora Mountain Resort,Colorado,United_States,IKON,1,12,12,12
2020-12-28,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2020-12-28,Fernie Alpine,British_Columbia,Canada,EPIC,0,28,N/A,53
2020-12-28,Folgàrida - Marilléva,Trentino,Italy,EPIC,0,N/A,N/A,N/A
2020-12-28,Heavenly,California,United_States,EPIC,0,28,34,50
2020-12-28,Jackson Hole,Wyoming,United_States,IKON,0,16,44,59
2020-12-28,June Mountain,California,United_States,IKON,0,N/A,N/A,N/A
2020-12-28,Keystone,Colorado,United_States,EPIC,0,24,24,24
2020-12-28,Kicking Horse,British_Columbia,Canada,EPIC,0,71,165,168
2020-12-28,Killington Resort,Vermont,United_States,IKON,0,24,24,24
2020-12-28,Kimberley,British_Columbia,Canada,EPIC,0,16,20,24
2020-12-28,Kirkwood,California,United_States,EPIC,0,26,33,33
2020-12-28,La Tania,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-28,Lake Louise,Alberta,Canada,IKON,0,40,N/A,51
2020-12-28,Les Menuires,Northern_Alps,France,EPIC,0,14,N/A,20
2020-12-28,Loon Mountain,New_Hampshire,United_States,IKON,0,18,22,26
2020-12-28,Madonna di Campiglio,Trentino,Italy,EPIC,0,51,N/A,99
2020-12-28,Mammoth Mountain,California,United_States,IKON,5,26,38,30
2020-12-28,Meribel,Northern_Alps,France,EPIC,0,8,N/A,35
2020-12-28,Mont Sainte Anne,Quebec,Canada,EPIC,0,N/A,N/A,N/A
2020-12-28,Monte Bondone,Trentino,Italy,EPIC,0,24,N/A,47
2020-12-28,Mount Sunapee,New_Hampshire,United_States,EPIC,0,18,18,18
2020-12-28,Mt. Bachelor,Oregon,United_States,IKON,0,53,63,63
2020-12-28,Mt. Brighton,Michigan,United_States,EPIC,0,26,26,26
2020-12-28,Mt. Buller,Australia,Australia,IKON,0,0,N/A,0
2020-12-28,Mt. Hotham,Australia,Australia,EPIC,0,0,0,0
2020-12-28,Mt. Norquay,Alberta,Canada,IKON,0,34,N/A,34
2020-12-28,Nakiska Ski Area,Alberta,Canada,EPIC,0,42,42,42
2020-12-28,Nendaz,Valais,Switzerland,EPIC,0,16,N/A,47
