Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2021-01-26,Afton Alps,Minnesota,United_States,EPIC,0,12,N/A,24
2021-01-26,Alpine Valley Resort,Wisconsin,United_States,EPIC,0,8,N/A,18
2021-01-26,Arapahoe Basin Ski Area,Colorado,United_States,IKON,1,39,39,39
2021-01-26,Attitash,New_Hampshire,United_States,EPIC,0,N/A,N/A,24
2021-01-26,Beaver Creek,Colorado,United_States,EPIC,2,29,29,29
2021-01-26,Big Boulder,Pennsylvania,United_States,EPIC,0,12,N/A,18
2021-01-26,Big Sky,Montana,United_States,IKON,0,29,39,57
2021-01-26,Blue Mountain,Ontario,Canada,IKON,0,14,14,14
2021-01-26,Boston Mills,Ohio,United_States,EPIC,0,10,N/A,18
2021-01-26,Boyne Highlands,Michigan,United_States,IKON,0,40,N/A,40
2021-01-26,Boyne Mountain Resort,Michigan,United_States,IKON,0,38,N/A,38
2021-01-26,Brandywine,Ohio,United_States,EPIC,0,10,N/A,18
2021-01-26,Breckenridge,Colorado,United_States,EPIC,2,33,33,33
2021-01-26,Brighton Resort,Utah,United_States,IKON,0,35,N/A,35
2021-01-26,Coronet Peak,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-01-26,Crested Butte Mountain Resort,Colorado,United_States,EPIC,2,44,44,44
2021-01-26,Crotched Mountain,New_Hampshire,United_States,EPIC,0,15,N/A,30
2021-01-26,Crystal Mountain,Washington,United_States,IKON,5,66,85,88
2021-01-26,Cypress Mountain,British_Columbia,Canada,IKON,4,85,142,N/A
2021-01-26,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2021-01-26,Heavenly,California,United_States,EPIC,12,29,34,50
2021-01-26,Hidden Valley Resort,Pennsylvania,United_States,EPIC,0,N/A,N/A,N/A
2021-01-26,Jack Frost,Pennsylvania,United_States,EPIC,0,2,N/A,30
2021-01-26,June Mountain,California,United_States,IKON,24,N/A,N/A,12
2021-01-26,Keystone,Colorado,United_States,EPIC,2,31,32,33
2021-01-26,Kirkwood,California,United_States,EPIC,11,32,27,27
2021-01-26,Liberty,Pennsylvania,United_States,EPIC,0,12,N/A,16
2021-01-26,Loon Mountain,New_Hampshire,United_States,IKON,1,20,N/A,30
2021-01-26,Mad River Mountain,Ohio,United_States,EPIC,0,10,N/A,10
2021-01-26,Mammoth Mountain,California,United_States,IKON,24,51,69,63
2021-01-26,Mount Snow,Vermont,United_States,EPIC,0,32,N/A,32
2021-01-26,Mount Sunapee,New_Hampshire,United_States,EPIC,0,18,N/A,24
2021-01-26,Mt. Brighton,Michigan,United_States,EPIC,0,37,37,37
2021-01-26,Mt. Buller,Australia,Australia,IKON,0,0,N/A,0
2021-01-26,Mt. Hotham,Australia,Australia,EPIC,0,0,0,0
2021-01-26,Mt. Hutt Ski Area,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-01-26,Northstar California,California,United_States,EPIC,10,27,N/A,46
2021-01-26,Okemo Mountain Resort,Vermont,United_States,EPIC,3,24,N/A,30
2021-01-26,Paoli Peaks,Indiana,United_States,EPIC,0,18,N/A,36
2021-01-26,Park City,Utah,United_States,EPIC,3,32,N/A,36
2021-01-26,Perisher,Australia,Australia,EPIC,0,0,0,0
2021-01-26,Revelstoke,British_Columbia,Canada,IKON,1,N/A,N/A,76
2021-01-26,Roundtop Mountain Resort,Pennsylvania,United_States,EPIC,0,20,N/A,20
2021-01-26,Snow Creek,Missouri,United_States,EPIC,3,20,N/A,20
2021-01-26,Snowshoe Mountain,West_Virginia,United_States,IKON,0,55,N/A,55
2021-01-26,Solitude Mountain Resort,Utah,United_States,IKON,0,48,N/A,48
2021-01-26,Squaw Valley Alpine Meadows,California,United_States,IKON,14,48,N/A,68
2021-01-26,Steamboat,Colorado,United_States,IKON,4,N/A,33,50
2021-01-26,Stevens Pass Resort,Washington,United_States,EPIC,3,78,101,125
2021-01-26,Stowe Mountain,Vermont,United_States,EPIC,1,18,36,48
2021-01-26,Stratton Mountain,Vermont,United_States,IKON,5,20,20,20
2021-01-26,Sugarbush,Vermont,United_States,IKON,2,30,N/A,52
2021-01-26,Sugarloaf,Maine,United_States,IKON,2,14,16,20
2021-01-26,Sunday River,Maine,United_States,IKON,4,18,24,28
2021-01-26,Taos Ski Valley,New_Mexico,United_States,IKON,8,55,67,67
2021-01-26,The Remarkables,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-01-26,The Summit at Snoqualmie,Washington,United_States,IKON,1,N/A,N/A,N/A
2021-01-26,Thredbo Alpine Resort,Australia,Australia,IKON,0,0,N/A,0
2021-01-26,Tremblant,Quebec,Canada,IKON,0,12,N/A,24
2021-01-26,Vail,Colorado,United_States,EPIC,4,39,39,39
2021-01-26,Valle Nevado,Chile,Chile,IKON,0,0,0,0
2021-01-26,Whistler Blackcomb,British_Columbia,Canada,EPIC,1,87,87,87
2021-01-26,Whitetail Resort,Pennsylvania,United_States,EPIC,0,20,N/A,20
2021-01-26,Wildcat Mountain,New_Hampshire,United_States,EPIC,0,18,N/A,18
2021-01-26,Wilmot Mountain,Wisconsin,United_States,EPIC,0,20,N/A,20
2021-01-26,Winter Park,Colorado,United_States,IKON,0,43,43,43
