Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2021-01-08,Afton Alps,Minnesota,United_States,EPIC,0,12,N/A,24
2021-01-08,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0,16,N/A,39
2021-01-08,Alta Ski Area,Utah,United_States,IKON,0,42,N/A,42
2021-01-08,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0,71,59,43
2021-01-08,Arapahoe Basin Ski Area,Colorado,United_States,IKON,0,33,33,33
2021-01-08,Aspen Snowmass,Colorado,United_States,IKON,0,24,31,37
2021-01-08,Bear Mountain,California,United_States,IKON,0,36,N/A,48
2021-01-08,Beaver Creek,Colorado,United_States,EPIC,0,24,24,24
2021-01-08,Big Sky,Montana,United_States,IKON,0,30,N/A,39
2021-01-08,Blue Mountain,Ontario,Canada,IKON,0,14,14,14
2021-01-08,Boyne Highlands,Michigan,United_States,IKON,0,40,N/A,40
2021-01-08,Boyne Mountain Resort,Michigan,United_States,IKON,0,24,N/A,24
2021-01-08,Breckenridge,Colorado,United_States,EPIC,0,29,29,29
2021-01-08,Brides les Bains,Northern_Alps,France,EPIC,0,0,N/A,0
2021-01-08,Brighton Resort,Utah,United_States,IKON,0,41,N/A,41
2021-01-08,Copper Mountain,Colorado,United_States,IKON,0,25,25,25
2021-01-08,Courchevel,Northern_Alps,France,EPIC,0,0,N/A,0
2021-01-08,Crested Butte Mountain Resort,Colorado,United_States,EPIC,0,34,34,34
2021-01-08,Crystal Mountain,Washington,United_States,IKON,1,62,82,89
2021-01-08,Cypress Mountain,British_Columbia,Canada,IKON,2,47,129,144
2021-01-08,Deer Valley Resort,Utah,United_States,IKON,0,26,26,26
2021-01-08,Eldora Mountain Resort,Colorado,United_States,IKON,0,24,24,24
2021-01-08,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2021-01-08,Fernie Alpine,British_Columbia,Canada,EPIC,0,39,N/A,79
2021-01-08,Folgàrida - Marilléva,Trentino,Italy,EPIC,0,N/A,N/A,N/A
2021-01-08,Heavenly,California,United_States,EPIC,0,27,32,48
2021-01-08,Jackson Hole,Wyoming,United_States,IKON,6,24,55,71
2021-01-08,June Mountain,California,United_States,IKON,0,6,N/A,8
2021-01-08,Keystone,Colorado,United_States,EPIC,0,30,30,30
2021-01-08,Kicking Horse,British_Columbia,Canada,EPIC,0,71,165,191
2021-01-08,Killington Resort,Vermont,United_States,IKON,0,24,24,24
2021-01-08,Kimberley,British_Columbia,Canada,EPIC,0,33,38,40
