Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2020-12-27,Afton Alps,Minnesota,United_States,EPIC,0,12,N/A,24
2020-12-27,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0,16,N/A,39
2020-12-27,Alta Ski Area,Utah,United_States,IKON,2,N/A,N/A,41
2020-12-27,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0,63,55,24
2020-12-27,Arapahoe Basin Ski Area,Colorado,United_States,IKON,0,27,27,27
2020-12-27,Aspen Snowmass,Colorado,United_States,IKON,0,20,27,32
2020-12-27,Bear Mountain,California,United_States,IKON,0,24,N/A,36
2020-12-27,Beaver Creek,Colorado,United_States,EPIC,2,21,21,21
2020-12-27,Big Sky,Montana,United_States,IKON,0,24,N/A,32
2020-12-27,Blue Mountain,Ontario,Canada,IKON,0,14,14,14
2020-12-27,Boyne Highlands,Michigan,United_States,IKON,0,N/A,N/A,40
2020-12-27,Boyne Mountain Resort,Michigan,United_States,IKON,0,12,N/A,12
2020-12-27,Breckenridge,Colorado,United_States,EPIC,4,26,26,26
2020-12-27,Brides les Bains,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-27,Brighton Resort,Utah,United_States,IKON,0,N/A,N/A,32
2020-12-27,Copper Mountain,Colorado,United_States,IKON,0,20,20,20
2020-12-27,Courchevel,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-27,Crested Butte Mountain Resort,Colorado,United_States,EPIC,2,29,29,29
2020-12-27,Crystal Mountain,Washington,United_States,IKON,0,44,53,55
2020-12-27,Cypress Mountain,British_Columbia,Canada,IKON,6,55,N/A,91
2020-12-27,Deer Valley Resort,Utah,United_States,IKON,0,19,19,19
2020-12-27,Eldora Mountain Resort,Colorado,United_States,IKON,0,12,12,12
2020-12-27,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2020-12-27,Fernie Alpine,British_Columbia,Canada,EPIC,0,28,N/A,54
2020-12-27,Folgàrida - Marilléva,Trentino,Italy,EPIC,0,N/A,N/A,N/A
2020-12-27,Heavenly,California,United_States,EPIC,1,28,34,50
2020-12-27,Jackson Hole,Wyoming,United_States,IKON,15,17,43,63
