Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2021-03-08,Afton Alps,Minnesota,United_States,EPIC,0,12,N/A,24
2021-03-08,Alpine Valley Resort,Wisconsin,United_States,EPIC,0,8,N/A,18
2021-03-08,Arapahoe Basin Ski Area,Colorado,United_States,IKON,0,50,50,50
2021-03-08,Attitash,New_Hampshire,United_States,EPIC,0,32,N/A,32
2021-03-08,Beaver Creek,Colorado,United_States,EPIC,0,42,42,42
2021-03-08,Big Boulder,Pennsylvania,United_States,EPIC,0,N/A,N/A,N/A
2021-03-08,Big Sky,Montana,United_States,IKON,0,51,55,81
2021-03-08,Blue Mountain,Ontario,Canada,IKON,1,N/A,N/A,39
2021-03-08,Boston Mills,Ohio,United_States,EPIC,0,10,N/A,18
2021-03-08,Boyne Highlands,Michigan,United_States,IKON,0,47,N/A,47
2021-03-08,Boyne Mountain Resort,Michigan,United_States,IKON,0,48,N/A,48
2021-03-08,Brandywine,Ohio,United_States,EPIC,0,10,N/A,18
2021-03-08,Breckenridge,Colorado,United_States,EPIC,0,48,48,48
2021-03-08,Brighton Resort,Utah,United_States,IKON,0,N/A,N/A,87
2021-03-08,Coronet Peak,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-03-08,Crested Butte Mountain Resort,Colorado,United_States,EPIC,0,53,53,53
2021-03-08,Crotched Mountain,New_Hampshire,United_States,EPIC,0,15,N/A,30
2021-03-08,Crystal Mountain,Washington,United_States,IKON,3,94,131,132
2021-03-08,Cypress Mountain,British_Columbia,Canada,IKON,5,104,181,N/A
2021-03-08,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2021-03-08,Heavenly,California,United_States,EPIC,0,46,56,72
2021-03-08,Hidden Valley Resort,Pennsylvania,United_States,EPIC,0,42,N/A,54
2021-03-08,Jack Frost,Pennsylvania,United_States,EPIC,0,24,N/A,30
2021-03-08,June Mountain,California,United_States,IKON,0,36,N/A,48
2021-03-08,Keystone,Colorado,United_States,EPIC,0,42,42,42
2021-03-08,Kirkwood,California,United_States,EPIC,0,77,70,63
2021-03-08,Liberty,Pennsylvania,United_States,EPIC,0,12,N/A,16
2021-03-08,Loon Mountain,New_Hampshire,United_States,IKON,0,28,N/A,36
2021-03-08,Mad River Mountain,Ohio,United_States,EPIC,0,N/A,N/A,24
2021-03-08,Mammoth Mountain,California,United_States,IKON,0,68,105,100
2021-03-08,Mount Snow,Vermont,United_States,EPIC,0,41,N/A,41
2021-03-08,Mount Sunapee,New_Hampshire,United_States,EPIC,0,32,N/A,32
2021-03-08,Mt. Brighton,Michigan,United_States,EPIC,0,28,28,28
2021-03-08,Mt. Buller,Australia,Australia,IKON,0,0,N/A,0
2021-03-08,Mt. Hotham,Australia,Australia,EPIC,0,0,0,0
2021-03-08,Mt. Hutt Ski Area,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-03-08,Northstar California,California,United_States,EPIC,0,24,N/A,77
2021-03-08,Okemo Mountain Resort,Vermont,United_States,EPIC,0,24,N/A,36
2021-03-08,Paoli Peaks,Indiana,United_States,EPIC,0,N/A,N/A,N/A
2021-03-08,Park City,Utah,United_States,EPIC,0,50,58,68
2021-03-08,Perisher,Australia,Australia,EPIC,0,0,0,0
2021-03-08,Revelstoke,British_Columbia,Canada,IKON,3,99,N/A,163
2021-03-08,Roundtop Mountain Resort,Pennsylvania,United_States,EPIC,0,20,N/A,20
2021-03-08,Snow Creek,Missouri,United_States,EPIC,0,20,N/A,20
2021-03-08,Snowshoe Mountain,West_Virginia,United_States,IKON,0,50,N/A,50
2021-03-08,Solitude Mountain Resort,Utah,United_States,IKON,0,N/A,N/A,77
2021-03-08,Squaw Valley Alpine Meadows,California,United_States,IKON,0,78,125,N/A
2021-03-08,Steamboat,Colorado,United_States,IKON,0,N/A,48,76
2021-03-08,Stevens Pass Resort,Washington,United_States,EPIC,4,122,152,169
2021-03-08,Stowe Mountain,Vermont,United_States,EPIC,1,30,40,60
2021-03-08,Stratton Mountain,Vermont,United_States,IKON,0,24,24,24
2021-03-08,Sugarbush,Vermont,United_States,IKON,0,48,N/A,72
2021-03-08,Sugarloaf,Maine,United_States,IKON,0,20,24,28
2021-03-08,Sunday River,Maine,United_States,IKON,0,22,N/A,38
2021-03-08,Taos Ski Valley,New_Mexico,United_States,IKON,0,55,67,67
2021-03-08,The Remarkables,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-03-08,The Summit at Snoqualmie,Washington,United_States,IKON,1,N/A,N/A,117
2021-03-08,Thredbo Alpine Resort,Australia,Australia,IKON,0,0,N/A,0
2021-03-08,Tremblant,Quebec,Canada,IKON,0,30,N/A,50
2021-03-08,Vail,Colorado,United_States,EPIC,0,53,53,53
2021-03-08,Valle Nevado,Chile,Chile,IKON,0,0,0,0
2021-03-08,Whistler Blackcomb,British_Columbia,Canada,EPIC,1,109,109,109
2021-03-08,Whitetail Resort,Pennsylvania,United_States,EPIC,0,32,N/A,32
2021-03-08,Wildcat Mountain,New_Hampshire,United_States,EPIC,0,18,N/A,36
2021-03-08,Wilmot Mountain,Wisconsin,United_States,EPIC,0,20,N/A,20
2021-03-08,Winter Park,Colorado,United_States,IKON,0,N/A,N/A,64
