date,resort_name,region,country,pass,snowfall
2020-12-27,Afton Alps,Minnesota,United_States,EPIC,0
2020-12-27,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0
2020-12-27,Alta Ski Area,Utah,United_States,IKON,2
2020-12-27,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0
2020-12-27,Arapahoe Basin Ski Area,Colorado,United_States,IKON,0
2020-12-27,Aspen Snowmass,Colorado,United_States,IKON,0
2020-12-27,Bear Mountain,California,United_States,IKON,0
2020-12-27,Beaver Creek,Colorado,United_States,EPIC,2
2020-12-27,Big Sky,Montana,United_States,IKON,0
2020-12-27,Blue Mountain,Ontario,Canada,IKON,0
2020-12-27,Boyne Highlands,Michigan,United_States,IKON,0
2020-12-27,Boyne Mountain Resort,Michigan,United_States,IKON,0
2020-12-27,Breckenridge,Colorado,United_States,EPIC,4
2020-12-27,Brides les Bains,Northern_Alps,France,EPIC,0
2020-12-27,Brighton Resort,Utah,United_States,IKON,0
2020-12-27,Copper Mountain,Colorado,United_States,IKON,0
2020-12-27,Courchevel,Northern_Alps,France,EPIC,0
2020-12-27,Crested Butte Mountain Resort,Colorado,United_States,EPIC,2
2020-12-27,Crystal Mountain,Washington,United_States,IKON,0
2020-12-27,Cypress Mountain,British_Columbia,Canada,IKON,6
2020-12-27,Deer Valley Resort,Utah,United_States,IKON,0
2020-12-27,Eldora Mountain Resort,Colorado,United_States,IKON,0
2020-12-27,Falls Creek Alpine Resort,Australia,Australia,EPIC,0
2020-12-27,Fernie Alpine,British_Columbia,Canada,EPIC,0
2020-12-27,Folgàrida - Marilléva,Trentino,Italy,EPIC,0
2020-12-27,Heavenly,California,United_States,EPIC,1
2020-12-27,Jackson Hole,Wyoming,United_States,IKON,15
2020-12-27,June Mountain,California,United_States,IKON,0
2020-12-27,Keystone,Colorado,United_States,EPIC,3
2020-12-27,Kicking Horse,British_Columbia,Canada,EPIC,1
2020-12-27,Killington Resort,Vermont,United_States,IKON,0
2020-12-27,Kimberley,British_Columbia,Canada,EPIC,0
2020-12-27,Kirkwood,California,United_States,EPIC,4
2020-12-27,La Tania,Northern_Alps,France,EPIC,0
2020-12-27,Lake Louise,Alberta,Canada,IKON,0
2020-12-27,Les Menuires,Northern_Alps,France,EPIC,0
2020-12-27,Loon Mountain,New_Hampshire,United_States,IKON,0
2020-12-27,Madonna di Campiglio,Trentino,Italy,EPIC,0
2020-12-27,Mammoth Mountain,California,United_States,IKON,1
2020-12-27,Meribel,Northern_Alps,France,EPIC,0
2020-12-27,Mont Sainte Anne,Quebec,Canada,EPIC,1
2020-12-27,Monte Bondone,Trentino,Italy,EPIC,0
2020-12-27,Mount Sunapee,New_Hampshire,United_States,EPIC,0
2020-12-27,Mt. Bachelor,Oregon,United_States,IKON,0
2020-12-27,Mt. Brighton,Michigan,United_States,EPIC,0
2020-12-27,Mt. Buller,Australia,Australia,IKON,0
2020-12-27,Mt. Hotham,Australia,Australia,EPIC,0
2020-12-27,Mt. Norquay,Alberta,Canada,IKON,0
2020-12-27,Nakiska Ski Area,Alberta,Canada,EPIC,1
2020-12-27,Nendaz,Valais,Switzerland,EPIC,0
2020-12-27,Northstar California,California,United_States,EPIC,0
2020-12-27,Okemo Mountain Resort,Vermont,United_States,EPIC,0
2020-12-27,Orelle,Northern_Alps,France,EPIC,0
2020-12-27,Park City,Utah,United_States,EPIC,1
2020-12-27,Pejo,Trentino,Italy,EPIC,0
2020-12-27,Perisher,Australia,Australia,EPIC,0
2020-12-27,Pinzolo,Trentino,Italy,EPIC,0
2020-12-27,Pontedilegno - Tonale,Trentino,Italy,EPIC,0
2020-12-27,Revelstoke,British_Columbia,Canada,IKON,9
2020-12-27,Saint Martin de Belleville,Northern_Alps,France,EPIC,0
2020-12-27,Snow Summit,California,United_States,IKON,0
2020-12-27,Snowbasin,Utah,United_States,EPIC,0
2020-12-27,Snowbird,Utah,United_States,IKON,2
2020-12-27,Snowshoe Mountain,West_Virginia,United_States,IKON,0
2020-12-27,Solitude Mountain Resort,Utah,United_States,IKON,0
2020-12-27,Squaw Valley Alpine Meadows,California,United_States,IKON,0
2020-12-27,Steamboat,Colorado,United_States,IKON,0
2020-12-27,Stevens Pass Resort,Washington,United_States,EPIC,3
2020-12-27,Stoneham,Quebec,Canada,EPIC,1
2020-12-27,Stowe Mountain,Vermont,United_States,EPIC,0
2020-12-27,Stratton Mountain,Vermont,United_States,IKON,0
2020-12-27,Sugarbush,Vermont,United_States,IKON,0
2020-12-27,Sugarloaf,Maine,United_States,IKON,0
2020-12-27,Sun Valley,Idaho,United_States,EPIC,2
2020-12-27,Sunday River,Maine,United_States,IKON,0
2020-12-27,Sunshine Village,Alberta,Canada,IKON,0
2020-12-27,Taos Ski Valley,New_Mexico,United_States,IKON,0
2020-12-27,Telluride,Colorado,United_States,EPIC,0
2020-12-27,The Summit at Snoqualmie,Washington,United_States,IKON,0
2020-12-27,Thredbo Alpine Resort,Australia,Australia,IKON,0
2020-12-27,Thyon 2000,Valais,Switzerland,EPIC,0
2020-12-27,Tremblant,Quebec,Canada,IKON,0
2020-12-27,Vail,Colorado,United_States,EPIC,1
2020-12-27,Val Thorens,Northern_Alps,France,EPIC,0
2020-12-27,Verbier,Valais,Switzerland,EPIC,0
2020-12-27,Veysonnaz,Valais,Switzerland,EPIC,0
2020-12-27,Whistler Blackcomb,British_Columbia,Canada,EPIC,2
2020-12-27,Wilmot Mountain,Wisconsin,United_States,EPIC,0
2020-12-27,Windham Mountain,New_York,United_States,IKON,0
2020-12-27,Winter Park,Colorado,United_States,IKON,6
2020-12-28,Afton Alps,Minnesota,United_States,EPIC,0
2020-12-28,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0
2020-12-28,Alta Ski Area,Utah,United_States,IKON,0
2020-12-28,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0
2020-12-28,Arapahoe Basin Ski Area,Colorado,United_States,IKON,1
2020-12-28,Aspen Snowmass,Colorado,United_States,IKON,0
2020-12-28,Bear Mountain,California,United_States,IKON,0
2020-12-28,Beaver Creek,Colorado,United_States,EPIC,0
2020-12-28,Big Sky,Montana,United_States,IKON,0
2020-12-28,Blue Mountain,Ontario,Canada,IKON,0
2020-12-28,Boyne Highlands,Michigan,United_States,IKON,3
2020-12-28,Boyne Mountain Resort,Michigan,United_States,IKON,0
2020-12-28,Breckenridge,Colorado,United_States,EPIC,3
2020-12-28,Brides les Bains,Northern_Alps,France,EPIC,0
2020-12-28,Brighton Resort,Utah,United_States,IKON,0
2020-12-28,Copper Mountain,Colorado,United_States,IKON,1
2020-12-28,Courchevel,Northern_Alps,France,EPIC,0
2020-12-28,Crested Butte Mountain Resort,Colorado,United_States,EPIC,2
2020-12-28,Crystal Mountain,Washington,United_States,IKON,0
2020-12-28,Cypress Mountain,British_Columbia,Canada,IKON,2
2020-12-28,Deer Valley Resort,Utah,United_States,IKON,1
2020-12-28,Eldora Mountain Resort,Colorado,United_States,IKON,1
2020-12-28,Falls Creek Alpine Resort,Australia,Australia,EPIC,0
2020-12-28,Fernie Alpine,British_Columbia,Canada,EPIC,0
2020-12-28,Folgàrida - Marilléva,Trentino,Italy,EPIC,0
2020-12-28,Heavenly,California,United_States,EPIC,0
2020-12-28,Jackson Hole,Wyoming,United_States,IKON,0
2020-12-28,June Mountain,California,United_States,IKON,0
2020-12-28,Keystone,Colorado,United_States,EPIC,0
2020-12-28,Kicking Horse,British_Columbia,Canada,EPIC,0
2020-12-28,Killington Resort,Vermont,United_States,IKON,0
2020-12-28,Kimberley,British_Columbia,Canada,EPIC,0
2020-12-28,Kirkwood,California,United_States,EPIC,0
2020-12-28,La Tania,Northern_Alps,France,EPIC,0
2020-12-28,Lake Louise,Alberta,Canada,IKON,0
2020-12-28,Les Menuires,Northern_Alps,France,EPIC,0
2020-12-28,Loon Mountain,New_Hampshire,United_States,IKON,0
2020-12-28,Madonna di Campiglio,Trentino,Italy,EPIC,0
2020-12-28,Mammoth Mountain,California,United_States,IKON,5
2020-12-28,Meribel,Northern_Alps,France,EPIC,0
2020-12-28,Mont Sainte Anne,Quebec,Canada,EPIC,0
2020-12-28,Monte Bondone,Trentino,Italy,EPIC,0
2020-12-28,Mount Sunapee,New_Hampshire,United_States,EPIC,0
2020-12-28,Mt. Bachelor,Oregon,United_States,IKON,0
2020-12-28,Mt. Brighton,Michigan,United_States,EPIC,0
2020-12-28,Mt. Buller,Australia,Australia,IKON,0
2020-12-28,Mt. Hotham,Australia,Australia,EPIC,0
2020-12-28,Mt. Norquay,Alberta,Canada,IKON,0
2020-12-28,Nakiska Ski Area,Alberta,Canada,EPIC,0
2020-12-28,Nendaz,Valais,Switzerland,EPIC,0
2020-12-28,Northstar California,California,United_States,EPIC,0
2020-12-28,Okemo Mountain Resort,Vermont,United_States,EPIC,0
2020-12-28,Orelle,Northern_Alps,France,EPIC,0
2020-12-28,Park City,Utah,United_States,EPIC,0
2020-12-28,Pejo,Trentino,Italy,EPIC,0
2020-12-28,Perisher,Australia,Australia,EPIC,0
2020-12-28,Pinzolo,Trentino,Italy,EPIC,0
2020-12-28,Pontedilegno - Tonale,Trentino,Italy,EPIC,0
2020-12-28,Revelstoke,British_Columbia,Canada,IKON,0
2020-12-28,Saint Martin de Belleville,Northern_Alps,France,EPIC,0
2020-12-28,Snow Summit,California,United_States,IKON,10
2020-12-28,Snowbasin,Utah,United_States,EPIC,0
2020-12-28,Snowbird,Utah,United_States,IKON,0
2020-12-28,Snowshoe Mountain,West_Virginia,United_States,IKON,0
2020-12-28,Solitude Mountain Resort,Utah,United_States,IKON,0
2020-12-28,Squaw Valley Alpine Meadows,California,United_States,IKON,0
2020-12-28,Steamboat,Colorado,United_States,IKON,2
2020-12-28,Stevens Pass Resort,Washington,United_States,EPIC,0
2020-12-28,Stoneham,Quebec,Canada,EPIC,0
2020-12-28,Stowe Mountain,Vermont,United_States,EPIC,1
2020-12-28,Stratton Mountain,Vermont,United_States,IKON,0
2020-12-28,Sugarbush,Vermont,United_States,IKON,0
2020-12-28,Sugarloaf,Maine,United_States,IKON,0
2020-12-28,Sun Valley,Idaho,United_States,EPIC,0
2020-12-28,Sunday River,Maine,United_States,IKON,0
2020-12-28,Sunshine Village,Alberta,Canada,IKON,0
2020-12-28,Taos Ski Valley,New_Mexico,United_States,IKON,0
2020-12-28,Telluride,Colorado,United_States,EPIC,2
2020-12-28,The Summit at Snoqualmie,Washington,United_States,IKON,0
2020-12-28,Thredbo Alpine Resort,Australia,Australia,IKON,0
2020-12-28,Thyon 2000,Valais,Switzerland,EPIC,0
2020-12-28,Tremblant,Quebec,Canada,IKON,0
2020-12-28,Vail,Colorado,United_States,EPIC,0
2020-12-28,Val Thorens,Northern_Alps,France,EPIC,0
2020-12-28,Verbier,Valais,Switzerland,EPIC,0
2020-12-28,Veysonnaz,Valais,Switzerland,EPIC,0
2020-12-28,Whistler Blackcomb,British_Columbia,Canada,EPIC,2
2020-12-28,Wilmot Mountain,Wisconsin,United_States,EPIC,0
2020-12-28,Windham Mountain,New_York,United_States,IKON,0
