Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2021-04-03,Afton Alps,Minnesota,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Alpine Valley Resort,Wisconsin,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Arapahoe Basin Ski Area,Colorado,United_States,IKON,0,50,50,50
2021-04-03,Attitash,New_Hampshire,United_States,EPIC,0,26,N/A,26
2021-04-03,Beaver Creek,Colorado,United_States,EPIC,0,46,46,46
2021-04-03,Big Boulder,Pennsylvania,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Big Sky,Montana,United_States,IKON,0,48,51,72
2021-04-03,Blue Mountain,Ontario,Canada,IKON,0,N/A,N/A,N/A
2021-04-03,Boston Mills,Ohio,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Boyne Highlands,Michigan,United_States,IKON,0,N/A,N/A,N/A
2021-04-03,Boyne Mountain Resort,Michigan,United_States,IKON,0,23,N/A,N/A
2021-04-03,Brandywine,Ohio,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Breckenridge,Colorado,United_States,EPIC,0,54,54,54
2021-04-03,Brighton Resort,Utah,United_States,IKON,0,76,N/A,76
2021-04-03,Coronet Peak,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-04-03,Crested Butte Mountain Resort,Colorado,United_States,EPIC,0,50,50,50
2021-04-03,Crotched Mountain,New_Hampshire,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Crystal Mountain,Washington,United_States,IKON,0,94,128,134
2021-04-03,Cypress Mountain,British_Columbia,Canada,IKON,0,106,N/A,203
2021-04-03,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2021-04-03,Heavenly,California,United_States,EPIC,0,40,50,66
2021-04-03,Hidden Valley Resort,Pennsylvania,United_States,EPIC,0,0,N/A,0
2021-04-03,Jack Frost,Pennsylvania,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,June Mountain,California,United_States,IKON,0,48,N/A,72
2021-04-03,Keystone,Colorado,United_States,EPIC,0,49,49,49
2021-04-03,Kirkwood,California,United_States,EPIC,0,60,51,73
2021-04-03,Liberty,Pennsylvania,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Loon Mountain,New_Hampshire,United_States,IKON,0,12,N/A,24
2021-04-03,Mad River Mountain,Ohio,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Mammoth Mountain,California,United_States,IKON,0,55,90,85
2021-04-03,Mount Snow,Vermont,United_States,EPIC,0,41,N/A,41
2021-04-03,Mount Sunapee,New_Hampshire,United_States,EPIC,0,32,N/A,32
2021-04-03,Mt. Brighton,Michigan,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Mt. Buller,Australia,Australia,IKON,0,0,N/A,0
2021-04-03,Mt. Hotham,Australia,Australia,EPIC,0,0,0,0
2021-04-03,Mt. Hutt Ski Area,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-04-03,Northstar California,California,United_States,EPIC,0,18,N/A,63
2021-04-03,Okemo Mountain Resort,Vermont,United_States,EPIC,0,18,N/A,24
2021-04-03,Paoli Peaks,Indiana,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Park City,Utah,United_States,EPIC,0,45,N/A,58
2021-04-03,Perisher,Australia,Australia,EPIC,0,0,0,0
2021-04-03,Revelstoke,British_Columbia,Canada,IKON,0,N/A,N/A,N/A
2021-04-03,Roundtop Mountain Resort,Pennsylvania,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Snow Creek,Missouri,United_States,EPIC,0,0,N/A,0
2021-04-03,Snowshoe Mountain,West_Virginia,United_States,IKON,0,N/A,N/A,N/A
2021-04-03,Solitude Mountain Resort,Utah,United_States,IKON,0,71,N/A,71
2021-04-03,Squaw Valley Alpine Meadows,California,United_States,IKON,0,61,109,N/A
2021-04-03,Steamboat,Colorado,United_States,IKON,0,39,39,64
2021-04-03,Stevens Pass Resort,Washington,United_States,EPIC,0,118,144,160
2021-04-03,Stowe Mountain,Vermont,United_States,EPIC,1,10,25,40
2021-04-03,Stratton Mountain,Vermont,United_States,IKON,0,16,16,16
2021-04-03,Sugarbush,Vermont,United_States,IKON,0,20,N/A,48
2021-04-03,Sugarloaf,Maine,United_States,IKON,0,10,13,16
2021-04-03,Sunday River,Maine,United_States,IKON,0,18,N/A,18
2021-04-03,Taos Ski Valley,New_Mexico,United_States,IKON,0,64,78,78
2021-04-03,The Remarkables,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-04-03,The Summit at Snoqualmie,Washington,United_States,IKON,0,116,N/A,N/A
2021-04-03,Thredbo Alpine Resort,Australia,Australia,IKON,0,0,N/A,0
2021-04-03,Tremblant,Quebec,Canada,IKON,0,30,N/A,50
2021-04-03,Vail,Colorado,United_States,EPIC,0,47,47,47
2021-04-03,Valle Nevado,Chile,Chile,IKON,0,0,0,0
2021-04-03,Whistler Blackcomb,British_Columbia,Canada,EPIC,0,0,0,0
2021-04-03,Whitetail Resort,Pennsylvania,United_States,EPIC,0,32,N/A,32
2021-04-03,Wildcat Mountain,New_Hampshire,United_States,EPIC,0,24,N/A,24
2021-04-03,Wilmot Mountain,Wisconsin,United_States,EPIC,0,N/A,N/A,N/A
2021-04-03,Winter Park,Colorado,United_States,IKON,0,73,N/A,73
