Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2020-12-30,Afton Alps,Minnesota,United_States,EPIC,2,12,N/A,24
2020-12-30,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0,16,N/A,39
2020-12-30,Alta Ski Area,Utah,United_States,IKON,0,38,N/A,38
2020-12-30,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0,59,53,24
2020-12-30,Arapahoe Basin Ski Area,Colorado,United_States,IKON,1,34,34,34
2020-12-30,Aspen Snowmass,Colorado,United_States,IKON,3,26,35,42
2020-12-30,Bear Mountain,California,United_States,IKON,0,36,N/A,48
2020-12-30,Beaver Creek,Colorado,United_States,EPIC,1,36,36,36
2020-12-30,Big Sky,Montana,United_States,IKON,0,20,N/A,29
2020-12-30,Blue Mountain,Ontario,Canada,IKON,0,14,14,14
2020-12-30,Boyne Highlands,Michigan,United_States,IKON,0,40,N/A,40
2020-12-30,Boyne Mountain Resort,Michigan,United_States,IKON,0,24,N/A,24
2020-12-30,Breckenridge,Colorado,United_States,EPIC,0,29,29,29
2020-12-30,Brides les Bains,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-30,Brighton Resort,Utah,United_States,IKON,0,32,N/A,32
2020-12-30,Copper Mountain,Colorado,United_States,IKON,1,25,25,25
2020-12-30,Courchevel,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-30,Crested Butte Mountain Resort,Colorado,United_States,EPIC,1,36,36,36
2020-12-30,Crystal Mountain,Washington,United_States,IKON,0,44,53,55
2020-12-30,Cypress Mountain,British_Columbia,Canada,IKON,0,37,N/A,102
2020-12-30,Deer Valley Resort,Utah,United_States,IKON,0,22,22,22
2020-12-30,Eldora Mountain Resort,Colorado,United_States,IKON,1,12,12,12
2020-12-30,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2020-12-30,Fernie Alpine,British_Columbia,Canada,EPIC,0,28,N/A,53
2020-12-30,Folgàrida - Marilléva,Trentino,Italy,EPIC,0,N/A,N/A,N/A
2020-12-30,Heavenly,California,United_States,EPIC,0,28,34,50
2020-12-30,Jackson Hole,Wyoming,United_States,IKON,0,16,41,56
2020-12-30,June Mountain,California,United_States,IKON,0,N/A,N/A,N/A
2020-12-30,Keystone,Colorado,United_States,EPIC,1,28,28,28
2020-12-30,Kicking Horse,British_Columbia,Canada,EPIC,0,71,165,169
2020-12-30,Killington Resort,Vermont,United_States,IKON,0,24,24,24
2020-12-30,Kimberley,British_Columbia,Canada,EPIC,0,16,20,24
2020-12-30,Kirkwood,California,United_States,EPIC,0,28,33,33
2020-12-30,La Tania,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-30,Lake Louise,Alberta,Canada,IKON,0,38,N/A,49
2020-12-30,Les Menuires,Northern_Alps,France,EPIC,0,14,N/A,20
2020-12-30,Loon Mountain,New_Hampshire,United_States,IKON,0,18,22,26
2020-12-30,Madonna di Campiglio,Trentino,Italy,EPIC,0,51,N/A,99
2020-12-30,Mammoth Mountain,California,United_States,IKON,0,34,48,42
