date,resort_name,region,country,pass,snowfall,lower_depth,middle_depth,upper_depth
2020-12-28,Afton Alps,Minnesota,United_States,EPIC,0,12,N/A,24
2020-12-28,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0,16,N/A,39
2020-12-28,Alta Ski Area,Utah,United_States,IKON,1,40,N/A,40
2020-12-28,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0,59,53,24
2020-12-28,Arapahoe Basin Ski Area,Colorado,United_States,IKON,5,33,33,33
2020-12-28,Aspen Snowmass,Colorado,United_States,IKON,11,26,36,42
2020-12-28,Copper Mountain,Colorado,United_States,IKON,4,25,25,25
2020-12-28,Courchevel,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-28,Crested Butte Mountain Resort,Colorado,United_States,EPIC,7,33,33,33
2020-12-28,Crystal Mountain,Washington,United_States,IKON,0,44,53,55
2020-12-28,Cypress Mountain,British_Columbia,Canada,IKON,0,N/A,98,98
2020-12-28,Deer Valley Resort,Utah,United_States,IKON,2,22,22,22
2020-12-28,Eldora Mountain Resort,Colorado,United_States,IKON,2,12,12,12
2020-12-28,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2020-12-28,Fernie Alpine,British_Columbia,Canada,EPIC,0,28,N/A,53
2020-12-28,Folgàrida - Marilléva,Trentino,Italy,EPIC,0,N/A,N/A,N/A
2020-12-28,Heavenly,California,United_States,EPIC,0,28,34,50
2020-12-28,Jackson Hole,Wyoming,United_States,IKON,0,17,42,58
2020-12-28,June Mountain,California,United_States,IKON,0,N/A,N/A,N/A
2020-12-28,Keystone,Colorado,United_States,EPIC,3,27,27,27
2020-12-28,Kicking Horse,British_Columbia,Canada,EPIC,1,71,165,168
2020-12-28,Killington Resort,Vermont,United_States,IKON,0,24,24,24
2020-12-28,Kimberley,British_Columbia,Canada,EPIC,0,16,20,24
2020-12-28,Kirkwood,California,United_States,EPIC,0,26,33,33
2020-12-28,La Tania,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-28,Lake Louise,Alberta,Canada,IKON,0,38,N/A,51
2020-12-28,Les Menuires,Northern_Alps,France,EPIC,0,14,N/A,20
2020-12-28,Loon Mountain,New_Hampshire,United_States,IKON,1,18,22,26
2020-12-28,Madonna di Campiglio,Trentino,Italy,EPIC,0,51,N/A,99
2020-12-28,Mammoth Mountain,California,United_States,IKON,3,29,42,35
2020-12-28,Meribel,Northern_Alps,France,EPIC,0,12,N/A,35
2020-12-28,Mont Sainte Anne,Quebec,Canada,EPIC,7,N/A,N/A,51
2020-12-28,Monte Bondone,Trentino,Italy,EPIC,0,24,N/A,47
2020-12-28,Mount Sunapee,New_Hampshire,United_States,EPIC,0,18,18,18
2020-12-28,Mt. Bachelor,Oregon,United_States,IKON,0,52,62,62
2020-12-28,Mt. Brighton,Michigan,United_States,EPIC,1,26,26,26
2020-12-28,Mt. Buller,Australia,Australia,IKON,0,0,N/A,0
2020-12-28,Mt. Hotham,Australia,Australia,EPIC,0,0,0,0
2020-12-28,Mt. Norquay,Alberta,Canada,IKON,0,20,N/A,20
2020-12-28,Nakiska Ski Area,Alberta,Canada,EPIC,0,42,42,42
2020-12-28,Nendaz,Valais,Switzerland,EPIC,0,16,N/A,47
2020-12-28,Northstar California,California,United_States,EPIC,0,18,N/A,32
2020-12-28,Okemo Mountain Resort,Vermont,United_States,EPIC,0,16,16,16
2020-12-28,Orelle,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-28,Park City,Utah,United_States,EPIC,4,20,N/A,23
2020-12-28,Pejo,Trentino,Italy,EPIC,0,N/A,N/A,N/A
2020-12-28,Perisher,Australia,Australia,EPIC,0,0,0,0
2020-12-28,Pinzolo,Trentino,Italy,EPIC,0,16,47,67
2020-12-28,Pontedilegno - Tonale,Trentino,Italy,EPIC,0,59,118,236
2020-12-28,Revelstoke,British_Columbia,Canada,IKON,0,69,N/A,70
